Kreis;x;y;Deckungsgrad Rubus sp [%];DG Strauchschicht [%] (0.5-3m);DG Baumschicht [%] (ab 3m)
0;684800;237100;25;100;100
1;684800;237375;60;80;90
2;684775;237075;5;70;90
3;684775;237250;5;95;100
4;684750;237300;60;60;90
5;684725;237200;30;60;90
6;684725;237300;60;70;90
7;684700;237175;60;80;90
8;684700;237225;5;10;100
9;684700;237300;90;60;95
10;684650;237150;5;50;60
11;684650;237375;90;60;50
12;684625;237225;50;80;80
13;684625;237275;0;95;100
14;684625;237350;100;20;40
15;684600;237425;90;90;60
16;684550;237375;10;30;90
17;684525;237400;100;70;80
18;684500;237300;45;60;90
19;684500;237400;80;70;60
20;684475;237275;95;80;50
21;684425;237275;20;40;90
22;684425;237400;70;70;25
23;684375;237325;50;10;20
24;684375;237350;30;40;75
