Kreis;X;Y;Deckungsgrad Rubus sp. [%];DG Strauchschicht [%] (0.5-3m);DG Baumschicht [%] (ab 3m)
0;684850;237300;10;90;75
1;684825;237050;50;10;80
2;684825;237200;30;40;50
3;684825;237275;40;85;65
4;684825;237325;45;75;80
5;684775;237150;5;10;90
6;684775;237175;0;5;15
7;684775;237225;10;50;45
8;684775;237325;10;65;80
9;684775;237375;60;75;90
10;684650;237225;10;5;75
11;684650;237300;35;25;55
12;684650;237350;50;45;80
13;684625;237250;45;20;85
14;684625;237425;85;45;20
15;684475;237350;10;50;75
16;684475;237400;10;40;80
17;684475;237425;15;45;80
18;684450;237100;25;65;80
19;684450;237125;30;40;85
20;684750;237475;15;65;80
21;684725;237500;80;25;20
22;684675;237475;20;50;85
23;684650;237600;35;10;10
24;684625;237550;20;40;95
