Kreis (r 12.5m);X;Y;Deckungsgrad Rubus sp. [%];DG Strauchschicht [%] (0.5-3m);DG Baumschicht [%] (ab 3m)
0;684825;237125;60;20;80
1;684800;237075;0;30;100
2;684800;237400;100;65;75
3;684775;237275;10;30;90
4;684725;237300;70;20;50
5;684700;237250;40;10;90
6;684700;237500;90;75;20
7;684675;237200;5;40;90
8;684675;237375;60;50;60
9;684650;237150;5;60;30
10;684650;237200;0;80;80
11;684650;237275;100;20;60
12;684650;237450;85;70;60
13;684650;237525;75;75;35
14;684650;237575;80;80;50
15;684625;237200;10;70;80
16;684600;237225;5;40;80
17;684600;237600;40;95;75
18;684575;237275;40;15;40
19;684575;237350;90;60;80
20;684525;237250;20;20;15
21;684525;237325;40;40;25
22;684525;237575;5;25;50
23;684500;237325;50;40;10
24;684850;237275;15;45;60
