TierID;CollarID;UTC_Date;UTC_Time;LMT_Date;LMT_Time;Latitude;Longitude;Height;DOP;X;Y;twilight_start;sunrise;sunset;twilight_end;moonilumination;daytime;ActMean;Trajectory;distance;speed;timelag
RE10;13573;31.05.2014;23:00:44;01.06.2014;00:00:44;47.2538596;8.5726448;671.82;1.8;685838;234281;31.05.2014 03:55;31.05.2014 04:34;31.05.2014 20:13;31.05.2014 20:51;0.066684515;N;55.47259259;RE10;7.211102551;0.000666584;10818
RE10;13573;01.06.2014;02:01:02;01.06.2014;03:01:02;47.2539145;8.5726978;668.9;3.8;685842;234287;01.06.2014 03:54;01.06.2014 04:33;01.06.2014 20:14;01.06.2014 20:53;0.129136625;N;41.98555556;RE10;37.33630941;0.003462837;10782
RE10;13573;01.06.2014;05:00:44;01.06.2014;06:00:44;47.254027;8.5731569;688.66;3.4;685877;234300;01.06.2014 03:54;01.06.2014 04:33;01.06.2014 20:14;01.06.2014 20:53;0.129136625;T;73.98296296;RE10;53.48831648;0.004953081;10799
RE10;13573;01.06.2014;08:00:43;01.06.2014;09:00:43;47.2538657;8.5724901;668.47;3.2;685827;234281;01.06.2014 03:54;01.06.2014 04:33;01.06.2014 20:14;01.06.2014 20:53;0.129136625;T;63.70648148;RE10;66.21933252;0.006130852;10801
RE10;13573;01.06.2014;11:00:44;01.06.2014;12:00:44;47.2537182;8.5716403;646.87;3.2;685763;234264;01.06.2014 03:54;01.06.2014 04:33;01.06.2014 20:14;01.06.2014 20:53;0.129136625;T;68.02;RE10;92.59049627;0.008573988;10799
RE10;13573;01.06.2014;14:00:43;01.06.2014;15:00:43;47.2540953;8.5727325;674.84;1.6;685845;234307;01.06.2014 03:54;01.06.2014 04:33;01.06.2014 20:14;01.06.2014 20:53;0.129136625;T;64.34527778;RE10;42.63801121;0.003938119;10827
RE10;13573;01.06.2014;17:01:10;01.06.2014;18:01:10;47.2538476;8.5731705;686.67;2.4;685878;234280;01.06.2014 03:54;01.06.2014 04:33;01.06.2014 20:14;01.06.2014 20:53;0.129136625;T;78.9212963;RE10;39.81205847;0.003694512;10776
RE10;13573;01.06.2014;20:00:46;01.06.2014;21:00:46;47.2539202;8.5726534;662.87;6.4;685839;234288;01.06.2014 03:54;01.06.2014 04:33;01.06.2014 20:14;01.06.2014 20:53;0.129136625;N;64.4;RE10;20.22374842;0.00187309;10797
RE10;13573;01.06.2014;23:00:43;02.06.2014;00:00:43;47.2537426;8.5726897;683.84;2.8;685842;234268;01.06.2014 03:54;01.06.2014 04:33;01.06.2014 20:14;01.06.2014 20:53;0.129136625;N;20.57777778;RE10;34;0.003148148;10800
RE10;13573;02.06.2014;02:00:43;02.06.2014;03:00:43;47.2540537;8.5727025;672.3;3;685842;234302;02.06.2014 03:54;02.06.2014 04:33;02.06.2014 20:14;02.06.2014 20:54;0.208314672;N;53.15027778;RE10;58.69412236;0.005434138;10801
RE10;13573;02.06.2014;05:00:44;02.06.2014;06:00:44;47.2538394;8.5734108;695.69;3.2;685896;234279;02.06.2014 03:54;02.06.2014 04:33;02.06.2014 20:14;02.06.2014 20:54;0.208314672;T;69.79888889;RE10;53.03772242;0.004896844;10831
RE10;13573;02.06.2014;08:01:15;02.06.2014;09:01:15;47.2538285;8.5727023;675.02;2.6;685843;234277;02.06.2014 03:54;02.06.2014 04:33;02.06.2014 20:14;02.06.2014 20:54;0.208314672;T;79.62222222;RE10;80.7093551;0.007494601;10769
RE10;13573;02.06.2014;11:00:44;02.06.2014;12:00:44;47.2542174;8.5735953;693.61;4.6;685910;234322;02.06.2014 03:54;02.06.2014 04:33;02.06.2014 20:14;02.06.2014 20:54;0.208314672;T;45.98592593;RE10;40.31128874;0.003732872;10799
RE10;13573;02.06.2014;14:00:43;02.06.2014;15:00:43;47.2540429;8.5731387;684.3;5;685875;234302;02.06.2014 03:54;02.06.2014 04:33;02.06.2014 20:14;02.06.2014 20:54;0.208314672;T;45.49518519;RE10;63.13477647;0.005845271;10801
RE10;13573;02.06.2014;17:00:44;02.06.2014;18:00:44;47.2537769;8.5724043;681.68;2.8;685820;234271;02.06.2014 03:54;02.06.2014 04:33;02.06.2014 20:14;02.06.2014 20:54;0.208314672;T;62.71185185;RE10;9.055385138;0.000838539;10799
RE10;13573;02.06.2014;20:00:43;02.06.2014;21:00:43;47.2537624;8.5725239;680.45;2.4;685829;234270;02.06.2014 03:54;02.06.2014 04:33;02.06.2014 20:14;02.06.2014 20:54;0.208314672;N;92.23851852;RE10;16.03121954;0.001484235;10801
