Anz_reh_lokalisationen;x;y;DG_us;DG_os
0;684900;237100;0.090282145;0.908123737
0;684900;237125;0.271652373;0.958549701
0;684900;237150;0.468022887;0.871029415
0;684900;237175;0.740667538;0.986130836
0;684875;237075;0.18107712;0.859634889
0;684875;237100;0.154525224;0.915420895
0;684875;237125;0.209631137;0.717677486
0;684875;237150;0.489820948;0.961480736
0;684875;237175;0.544123751;0.95805274
0;684875;237200;0.337555557;0.992657208
0;684875;237225;0.224620375;0.932038537
0;684875;237250;0.439177249;0.952185602
0;684850;237075;0.161653728;0.872778908
0;684850;237100;0.173512532;0.757996959
0;684850;237125;0.174250542;0.632231237
0;684850;237150;0.170249644;0.611881341
0;684850;237175;0.433537159;0.784097365
1;684850;237200;0.672888122;0.949224146
0;684850;237225;0.498162515;0.985735298
0;684850;237250;0.379347494;0.936911766
0;684850;237275;0.500068652;0.928128812
0;684850;237300;0.181871659;0.909908725
0;684850;237325;0.054540901;0.622358014
0;684825;237050;0.164202595;0.874127792
0;684825;237075;0.197551134;0.944984793
0;684825;237100;0.48515866;0.941110555
0;684825;237125;0.346134535;0.859477685
0;684825;237150;0.279397718;0.781810346
0;684825;237175;0.272369761;0.818818459
1;684825;237200;0.300191918;0.691531442
1;684825;237225;0.332200189;0.993073021
1;684825;237250;0.565351167;0.945491888
0;684825;237275;0.5756355;0.888392497
0;684825;237300;0.212528028;0.91502029
0;684825;237325;0.205365236;0.931455385
0;684825;237350;0.073498873;0.747758626
0;684825;237375;0.063944421;0.374284986
0;684800;237050;0.279099532;0.716556798
0;684800;237075;0.554130524;0.96137931
0;684800;237100;0.304504299;0.938230227
0;684800;237125;0.201984926;0.617287019
2;684800;237150;0.075016088;0.772510149
6;684800;237175;0.319480212;0.690192699
1;684800;237200;0.220209099;0.643803246
0;684800;237225;0.32960726;0.870091282
2;684800;237250;0.600519813;0.97906187
3;684800;237275;0.727731492;0.923493914
0;684800;237300;0.632959688;0.937469575
0;684800;237325;0.320224461;0.854224141
0;684800;237350;0.155516485;0.848747462
0;684800;237375;0.160964376;0.903884388
0;684800;237400;0.079023061;0.904624752
0;684775;237075;0.246408451;0.907271806
0;684775;237100;0.420347995;0.866551728
0;684775;237125;0.123196172;0.688164307
2;684775;237150;0.230744794;0.921769785
9;684775;237175;0.314194982;0.953260654
5;684775;237200;0.090244497;0.700948278
0;684775;237225;0.260699867;0.754594324
0;684775;237250;0.252664065;0.991399599
1;684775;237275;0.433038699;0.962449298
3;684775;237300;0.452167162;0.875780937
7;684775;237325;0.508642793;0.905745442
6;684775;237350;0.683493985;0.910953357
0;684775;237375;0.270970801;0.883433071
0;684775;237400;0.158242845;0.91117648
0;684775;237425;0.024435055;0.92789047
0;684775;237450;0.033657497;0.794756594
1;684750;237100;0.43771085;0.874462481
4;684750;237125;0.397168728;0.666049696
3;684750;237150;0.353356927;0.817104469
13;684750;237175;0.413511718;0.890917858
2;684750;237200;0.303219462;0.661394526
2;684750;237225;0.316829111;0.913818462
1;684750;237250;0.320450469;0.797758621
0;684750;237275;0.252405399;0.869999997
3;684750;237300;0.376991874;0.94201826
13;684750;237325;0.682328075;0.931267751
2;684750;237350;0.680992749;0.954284994
7;684750;237375;0.444807422;0.955882359
0;684750;237400;0.312375589;0.891663289
0;684750;237425;0.197521207;0.854655175
0;684750;237450;0.106980977;0.937606503
2;684725;237100;0.370092702;0.867033473
5;684725;237125;0.372002603;0.563924951
2;684725;237150;0.040199788;0.699462475
5;684725;237175;0.300992697;0.57783469
4;684725;237200;0.233899798;0.650846855
1;684725;237225;0.218444355;0.706820486
