pres_abs;nmb;x;y;forest;slope;dist_road_all;dist_road_only;dist_build;forest_prop;us;os;GPStot;id;time_of_day;stoerungskategorie
0;0;682250;237725;0;10.14624;60.26939;60.26939;36.1637;0.022245809;0;0;420;RE03;night;gering
1;1;682250;237750;0;9.971513;56.25501;56.25501;12.24254;9.31E-04;0.021805274;0.067444219;420;RE03;night;gering
0;0;682225;237700;0;8.848628;53.14528;53.14528;57.51127;0.018562984;0;0;420;RE03;night;gering
1;1;682225;237725;0;10.33172;68.52743;68.52743;32.52004;8.24E-04;0;0;420;RE03;night;gering
1;3;682225;237750;0;12.66392;50.20113;50.20113;7.85563;0;0;0.004056795;420;RE03;night;gering
1;1;682200;237675;0;15.09494;53.14576;53.14576;82.73111;0.008429872;0;0;420;RE03;night;gering
1;5;682200;237700;0;14.86643;70.76715;70.76715;57.8316;4.32E-05;0;0;420;RE03;night;gering
1;8;682200;237725;0;16.18366;75.21166;75.21166;33.08682;0;0;0.050709939;420;RE03;night;gering
1;2;682200;237750;0;14.78935;51.38868;51.38868;10.0206;0;0;5.15E-11;420;RE03;night;gering
0;0;682175;237675;0;16.57295;72.40253;72.40253;87.20913;0.012385408;0;0;420;RE03;night;gering
1;1;682175;237700;0;14.95058;88.42531;88.42531;64.07439;0.003615453;0;0;420;RE03;night;gering
1;3;682175;237725;0;14.57163;83.01417;83.01417;43.07901;4.83E-04;0;0;420;RE03;night;gering
0;0;682175;237750;0;15.82833;61.3711;61.3711;29.23779;0;0;0.22515213;420;RE03;night;gering
0;0;682150;237625;0;27.51188;64.96026;64.96026;142.6379;0.170530627;0;0;420;RE03;night;gering
0;0;682150;237650;0;24.02102;84.19712;84.19712;119.8172;0.091563916;0;0;420;RE03;night;gering
1;1;682150;237675;0;22.91091;94.16925;94.16925;98.01113;0.079475021;0;4.16E-12;420;RE03;night;gering
1;3;682150;237700;0;20.04436;106.4635;106.4635;78.14241;0.062474887;0;0.052738337;420;RE03;night;gering
1;2;682150;237725;0;15.20869;96.26565;96.26565;62.0992;0.033654537;0;0.095334686;420;RE03;night;gering
1;1;682150;237750;0;12.13997;78.37159;78.37159;53.43233;0.011728237;0;0.022312373;420;RE03;night;gering
1;1;682150;237775;0;18.13208;65.32361;65.32361;49.49643;0.003126104;0.004056795;0.145030426;420;RE03;night;gering
1;1;682125;237575;0;19.70053;18.97617;18.97617;122.0695;0.444135962;0;0.057809331;420;RE03;night;gering
0;0;682125;237600;0;22.93953;42.81762;42.81762;130.9617;0.340648958;0;0.075557809;420;RE03;night;gering
1;1;682125;237625;0;22.0604;67.01042;67.01042;142.0367;0.248509362;0;0;420;RE03;night;gering
1;2;682125;237650;0;24.34511;91.46442;91.46442;132.6799;0.187309283;0;0;420;RE03;night;gering
0;0;682125;237675;0;24.92059;113.8752;113.8752;113.3884;0.175920323;0;0.071501014;420;RE03;night;gering
1;6;682125;237700;0;30.41813;125.9441;125.9441;96.73132;0.154556794;0.101419878;0.498985801;420;RE03;night;gering
1;9;682125;237725;0;30.12058;113.5465;113.5465;84.30283;0.110299564;0;0.272312373;420;RE03;night;gering
1;3;682125;237750;0;29.6672;98.71582;98.71582;78.09678;0.06976671;0.123225152;0.290567951;420;RE03;night;gering
1;2;682125;237775;0;13.93971;83.78495;83.78495;73.84383;0.061897189;0.025862069;0.092292089;420;RE03;night;gering
1;1;682125;237800;0;14.101;62.15695;62.15695;68.95816;0.07720094;0;0.073022312;420;RE03;night;gering
1;1;682100;237575;0;21.61751;20;20;98.24338;0.492737223;0;0;420;RE03;night;gering
1;3;682100;237600;0.006299437;20.65392;45;45;109.0952;0.412355717;0.050709939;0.244929006;420;RE03;night;gering
1;7;682100;237625;0.2176262;22.93762;70;70;124.1038;0.343296606;0.101419878;0.620182556;420;RE03;night;gering
1;3;682100;237650;0;25.98285;94.9743;94.9743;139.3381;0.299360498;0;0.07505071;420;RE03;night;gering
1;6;682100;237675;0;21.91849;119.8289;119.8289;131.7485;0.292376888;0.022312373;0.154158215;420;RE03;night;gering
1;5;682100;237700;0;22.75903;140.9313;140.9313;117.7186;0.261126737;0;0.004056795;420;RE03;night;gering
1;8;682100;237725;0;23.09137;128.226;128.226;107.739;0.212623104;0;0;420;RE03;night;gering
1;3;682100;237750;0;31.02165;105.6561;105.6561;102.7953;0.183777338;0.101419878;0.643509128;420;RE03;night;gering
