KreisID;X;Y;DG_Rubus;DG_Strauchschicht;DG_Baumschicht;team;Anz_reh_lokalisationen;DG_us;DG_os
0;684900;237175;1;50;90;team1;0;0.740667538;0.986130836
1;684875;237125;72.5;57.5;55;team1;0;0.209631137;0.717677486
2;684875;237175;15;65;85;team1;0;0.544123751;0.95805274
3;684875;237250;25;45;65;team1;0;0.439177249;0.952185602
4;684850;237225;15;65;70;team1;0;0.498162515;0.985735298
5;684800;237275;25;70;80;team1;3;0.727731492;0.923493914
6;684800;237325;30;75;80;team1;0;0.320224461;0.854224141
7;684800;237350;60;65;50;team1;0;0.155516485;0.848747462
8;684775;237100;85;65;60;team1;0;0.420347995;0.866551728
9;684775;237125;65;35;70;team1;0;0.123196172;0.688164307
10;684725;237375;20;65;80;team1;11;0.457624596;0.918990875
11;684700;237325;77.5;42.5;35;team1;0;0.090212323;0.761272823
12;684675;237175;15;50;80;team1;20;0.613402928;0.897216029
13;684675;237350;75.5;75;55;team1;0;0.21309727;0.603833669
14;684675;237400;75;40;45;team1;0;0.342489547;0.96802739
15;684525;237450;43.75;42.6;60;team1;0;0.148938849;0.729066937
16;684500;237350;85;55;35;team1;1;0.0482109;0.37998986
17;684500;237425;47.5;51.25;77.5;team1;1;0.24445477;0.7731643
18;684475;237300;22.5;85;65;team1;1;0.600419473;0.812358014
19;684475;237325;55;70;65;team1;1;0.290502305;0.627089254
20;684425;237225;35;75;45;team1;0;0.328093871;0.706648079
21;684425;237325;40;70;60;team1;1;0.53332793;0.855512168
22;684425;237375;91.25;50;40;team1;7;0.28590728;0.806044631
23;684400;237300;33.75;23.75;61.25;team1;1;0.2722864;0.750101426
24;684400;237425;6.75;11.5;36.25;team1;0;0.138980938;0.490126775
0;684850;237300;10;90;75;team2;0;0.181871659;0.909908725
1;684825;237050;50;10;80;team2;0;0.164202595;0.874127792
2;684825;237200;30;40;50;team2;1;0.300191918;0.691531442
3;684825;237275;40;85;65;team2;0;0.5756355;0.888392497
4;684825;237325;45;75;80;team2;0;0.205365236;0.931455385
5;684775;237150;5;10;90;team2;2;0.230744794;0.921769785
6;684775;237175;0;5;15;team2;9;0.314194982;0.953260654
7;684775;237225;10;50;45;team2;0;0.260699867;0.754594324
8;684775;237325;10;65;80;team2;7;0.508642793;0.905745442
9;684775;237375;60;75;90;team2;0;0.270970801;0.883433071
10;684650;237225;10;5;75;team2;1;0.237817083;0.560786008
11;684650;237300;35;25;55;team2;0;0.06831555;0.823737325
12;684650;237350;50;45;80;team2;0;0.104997746;0.60136917
13;684625;237250;45;20;85;team2;9;0.451661062;0.881120697
14;684625;237425;85;45;20;team2;0;0.021283996;0.211090264
15;684475;237350;10;50;75;team2;2;0.092206859;0.778417849
16;684475;237400;10;40;80;team2;2;0.177609576;0.680131847
17;684475;237425;15;45;80;team2;0;0.203203234;0.759371196
18;684450;237100;25;65;80;team2;0;0.254088529;0.890126779
19;684450;237125;30;40;85;team2;0;0.404685699;0.854979721
20;684750;237475;15;65;80;team2;0;0.063164552;0.885963491
21;684725;237500;80;25;20;team2;0;0.274959015;0.92135396
22;684675;237475;20;50;85;team2;0;0.160119691;0.9660142
23;684650;237600;35;10;10;team2;0;0.422440136;0.92763185
24;684625;237550;20;40;95;team2;6;0.446527293;0.962444224
0;684825;237350;63.75;23.25;56.25;team3;0;0.073498873;0.747758626
1;684825;237375;48.75;22.5;61.25;team3;0;0.063944421;0.374284986
2;684800;237125;25.75;43.25;79.5;team3;0;0.201984926;0.617287019
3;684800;237150;86.25;35;68.75;team3;2;0.075016088;0.772510149
4;684800;237200;1.13;15;26.75;team3;1;0.220209099;0.643803246
5;684750;237150;0.3;10.25;78.75;team3;3;0.353356927;0.817104469
6;684750;237375;57.5;7.25;55;team3;7;0.444807422;0.955882359
7;684725;237100;7;48.75;57.25;team3;2;0.370092702;0.867033473
8;684725;237125;0.45;77.5;77.5;team3;5;0.372002603;0.563924951
9;684725;237225;63.75;6.5;50;team3;1;0.218444355;0.706820486
10;684600;237350;10.75;44.5;30;team3;15;0.514401598;0.846967545
11;684600;237400;71.25;25.75;7;team3;0;0.207249931;0.553635901
12;684575;237400;48.75;39.5;38.75;team3;2;0.214663123;0.420436104
13;684550;237250;0;2.75;7;team3;0;0.041779752;0.320547672
14;684550;237400;17.5;55;78.75;team3;4;0.336578531;0.595420897
15;684450;237150;28.75;13.75;88.75;team3;0;0.334884986;0.972180536
16;684450;237225;8;33.25;50.75;team3;0;0.271519311;0.894994934
17;684450;237325;57.75;42;37.5;team3;3;0.300106707;0.590070996
18;684450;237375;73.75;40.75;27;team3;1;0.172520273;0.593798172
19;684425;237100;48;33.25;60.25;team3;0;0.23497551;0.963519276
20;684625;237600;8;37.5;28.75;team3;0;0.694641524;0.788184589
21;684575;237500;9.38;55.5;38.75;team3;0;0.42238562;0.959386411
22;684575;237600;1;92.5;10.5;team3;3;0.378712216;0.928519277
23;684550;237575;6.5;60;21.25;team3;2;0.311853401;0.836627788
24;684525;237600;5.25;20.25;32.5;team3;0;0.661013484;0.904746456
0;684825;237125;60;20;80;team4;0;0.346134535;0.859477685
1;684800;237075;0;30;100;team4;0;0.554130524;0.96137931
2;684800;237400;100;65;75;team4;0;0.079023061;0.904624752
3;684775;237275;10;30;90;team4;1;0.433038699;0.962449298
4;684725;237300;70;20;50;team4;1;0.184611796;0.783686616
5;684700;237250;40;10;90;team4;0;0.570370929;0.922794124
6;684700;237500;90;75;20;team4;0;0.14614367;0.920745439
7;684675;237200;5;40;90;team4;6;0.209892094;0.898123736
8;684675;237375;60;50;60;team4;0;0.193725895;0.781318465
9;684650;237150;5;60;30;team4;0;0.395629631;0.772251527
10;684650;237200;0;80;80;team4;3;0.402014884;0.922474646
11;684650;237275;100;20;60;team4;1;0.1926829;0.814670385
12;684650;237450;85;70;60;team4;0;0.224305184;0.924949294
