Datetime;Fuss_IN;Fuss_OUT;Velo_IN;Velo_OUT;Pferd_IN;Perd_OUT
2017010100;0.000;0.000;0.000;0.000;0.000;0.000
2017010101;0.000;0.000;0.000;0.000;0.000;0.000
2017010102;0.000;0.000;0.000;0.000;0.000;0.000
2017010103;0.000;0.000;0.000;0.000;0.000;0.000
2017010104;0.000;0.000;0.000;0.000;0.000;0.000
2017010105;0.000;0.000;0.000;0.000;0.000;0.000
2017010106;0.000;0.000;0.000;0.000;0.000;0.000
2017010107;0.000;0.000;0.000;0.000;0.000;0.000
2017010108;0.000;0.000;0.000;0.000;0.000;0.000
2017010109;0.000;0.000;0.000;0.000;0.000;0.000
2017010110;0.000;0.000;0.000;0.000;0.000;0.000
2017010111;3.000;1.000;0.000;0.000;0.000;0.000
2017010112;3.000;0.000;0.000;0.000;1.000;0.000
2017010113;1.000;1.000;0.000;0.000;0.000;0.000
2017010114;4.000;0.000;0.000;0.000;0.000;0.000
2017010115;0.000;2.000;0.000;0.000;0.000;0.000
2017010116;0.000;2.000;0.000;0.000;0.000;0.000
2017010117;0.000;0.000;0.000;0.000;0.000;0.000
2017010118;0.000;0.000;0.000;0.000;0.000;0.000
2017010119;0.000;0.000;0.000;0.000;0.000;0.000
2017010120;0.000;0.000;0.000;0.000;0.000;0.000
2017010121;0.000;0.000;0.000;0.000;0.000;0.000
2017010122;0.000;0.000;0.000;0.000;0.000;0.000
2017010123;0.000;0.000;0.000;0.000;0.000;0.000
2017010200;0.000;0.000;0.000;0.000;0.000;0.000
2017010201;0.000;0.000;0.000;0.000;0.000;0.000
2017010202;0.000;0.000;0.000;0.000;0.000;0.000
2017010203;0.000;0.000;0.000;0.000;0.000;0.000
2017010204;0.000;0.000;0.000;0.000;0.000;0.000
2017010205;0.000;0.000;0.000;0.000;0.000;0.000
2017010206;0.000;0.000;0.000;0.000;0.000;0.000
2017010207;0.000;0.000;0.000;0.000;0.000;0.000
2017010208;1.000;0.000;0.000;0.000;0.000;0.000
2017010209;1.000;0.000;0.000;0.000;0.000;0.000
2017010210;1.000;1.000;0.000;0.000;0.000;0.000
2017010211;3.000;0.000;0.000;0.000;0.000;0.000
2017010212;6.000;2.000;1.000;0.000;0.000;0.000
2017010213;3.000;2.000;1.000;0.000;0.000;0.000
2017010214;0.000;4.000;1.000;0.000;0.000;0.000
2017010215;2.000;0.000;0.000;0.000;0.000;0.000
2017010216;1.000;2.000;0.000;0.000;0.000;0.000
2017010217;0.000;0.000;0.000;0.000;0.000;0.000
2017010218;0.000;0.000;0.000;0.000;0.000;0.000
2017010219;0.000;0.000;0.000;0.000;0.000;0.000
2017010220;0.000;0.000;0.000;0.000;0.000;0.000
2017010221;0.000;0.000;0.000;0.000;0.000;0.000
2017010222;0.000;0.000;0.000;0.000;0.000;0.000
2017010223;0.000;0.000;0.000;0.000;0.000;0.000
2017010300;0.000;0.000;0.000;0.000;0.000;0.000
2017010301;0.000;0.000;0.000;0.000;0.000;0.000
2017010302;0.000;0.000;0.000;0.000;0.000;0.000
2017010303;0.000;0.000;0.000;0.000;0.000;0.000
2017010304;0.000;0.000;0.000;0.000;0.000;0.000
2017010305;0.000;0.000;0.000;0.000;0.000;0.000
2017010306;0.000;0.000;0.000;0.000;0.000;0.000
2017010307;0.000;0.000;0.000;0.000;0.000;0.000
2017010308;2.000;1.000;0.000;0.000;0.000;0.000
2017010309;0.000;1.000;0.000;0.000;0.000;0.000
2017010310;1.000;0.000;0.000;0.000;0.000;0.000
2017010311;2.000;0.000;0.000;0.000;0.000;0.000
2017010312;0.000;0.000;0.000;0.000;0.000;0.000
2017010313;0.000;0.000;0.000;0.000;0.000;0.000
2017010314;0.000;0.000;0.000;0.000;0.000;0.000
2017010315;2.000;0.000;0.000;0.000;0.000;0.000
2017010316;0.000;0.000;0.000;0.000;0.000;0.000
2017010317;0.000;0.000;0.000;0.000;0.000;0.000
2017010318;0.000;0.000;0.000;0.000;0.000;0.000
2017010319;0.000;0.000;0.000;0.000;0.000;0.000
2017010320;0.000;0.000;0.000;0.000;0.000;0.000
2017010321;0.000;0.000;0.000;0.000;0.000;0.000
2017010322;0.000;0.000;0.000;0.000;0.000;0.000
2017010323;0.000;0.000;0.000;0.000;0.000;0.000
2017010400;0.000;0.000;0.000;0.000;0.000;0.000
2017010401;0.000;0.000;0.000;0.000;0.000;0.000
2017010402;0.000;0.000;0.000;0.000;0.000;0.000
2017010403;0.000;0.000;0.000;0.000;0.000;0.000
2017010404;0.000;0.000;0.000;0.000;0.000;0.000
2017010405;0.000;0.000;0.000;0.000;0.000;0.000
2017010406;0.000;0.000;0.000;0.000;0.000;0.000
2017010407;0.000;0.000;0.000;0.000;0.000;0.000
2017010408;0.000;1.000;0.000;0.000;0.000;0.000
2017010409;0.000;0.000;0.000;0.000;0.000;0.000
2017010410;0.000;1.000;0.000;0.000;0.000;0.000
2017010411;0.000;0.000;0.000;0.000;0.000;0.000
2017010412;2.000;1.000;0.000;0.000;0.000;0.000
2017010413;1.000;2.000;0.000;1.000;0.000;0.000
2017010414;0.000;0.000;0.000;0.000;0.000;0.000
2017010415;1.000;2.000;0.000;0.000;0.000;0.000
2017010416;0.000;0.000;0.000;0.000;0.000;0.000
2017010417;0.000;0.000;0.000;0.000;0.000;0.000
2017010418;0.000;0.000;0.000;0.000;0.000;0.000
2017010419;0.000;0.000;0.000;0.000;0.000;0.000
2017010420;0.000;0.000;0.000;0.000;0.000;0.000
2017010421;0.000;0.000;0.000;0.000;0.000;0.000
2017010422;0.000;0.000;0.000;0.000;0.000;0.000
2017010423;0.000;0.000;0.000;0.000;0.000;0.000
2017010500;0.000;0.000;0.000;0.000;0.000;0.000
2017010501;0.000;0.000;0.000;0.000;0.000;0.000
2017010502;0.000;0.000;0.000;0.000;0.000;0.000
2017010503;0.000;0.000;0.000;0.000;0.000;0.000
2017010504;0.000;0.000;0.000;0.000;0.000;0.000
2017010505;0.000;0.000;0.000;0.000;0.000;0.000
2017010506;0.000;0.000;0.000;0.000;0.000;0.000
2017010507;0.000;0.000;0.000;0.000;0.000;0.000
2017010508;0.000;0.000;0.000;0.000;0.000;0.000
2017010509;0.000;0.000;0.000;0.000;0.000;0.000
2017010510;0.000;0.000;0.000;0.000;0.000;0.000
2017010511;1.000;1.000;0.000;0.000;0.000;0.000
2017010512;0.000;0.000;0.000;0.000;0.000;0.000
2017010513;0.000;0.000;0.000;0.000;0.000;0.000
2017010514;0.000;0.000;0.000;0.000;0.000;0.000
2017010515;0.000;0.000;1.000;0.000;0.000;0.000
2017010516;0.000;0.000;0.000;0.000;0.000;0.000
2017010517;0.000;0.000;0.000;0.000;0.000;0.000
2017010518;0.000;0.000;0.000;0.000;0.000;0.000
2017010519;0.000;0.000;0.000;0.000;1.000;0.000
2017010520;0.000;0.000;0.000;0.000;0.000;0.000
2017010521;0.000;0.000;0.000;0.000;0.000;0.000
2017010522;0.000;0.000;0.000;0.000;0.000;0.000
2017010523;0.000;0.000;0.000;0.000;0.000;0.000
2017010600;0.000;0.000;0.000;0.000;0.000;0.000
2017010601;0.000;0.000;0.000;0.000;0.000;0.000
2017010602;0.000;0.000;0.000;0.000;0.000;0.000
2017010603;0.000;0.000;0.000;0.000;0.000;0.000
2017010604;0.000;0.000;0.000;0.000;0.000;0.000
2017010605;1.000;0.000;0.000;0.000;0.000;0.000
2017010606;0.000;0.000;0.000;0.000;0.000;0.000
2017010607;0.000;0.000;0.000;0.000;0.000;0.000
2017010608;0.000;0.000;0.000;0.000;0.000;0.000
2017010609;0.000;0.000;0.000;0.000;0.000;0.000
2017010610;0.000;0.000;0.000;0.000;0.000;0.000
2017010611;7.000;0.000;0.000;0.000;0.000;0.000
2017010612;1.000;0.000;0.000;0.000;0.000;0.000
2017010613;3.000;0.000;1.000;0.000;0.000;0.000
2017010614;1.000;4.000;0.000;0.000;0.000;0.000
