Datetime;Fuss_IN;Fuss_OUT;Velo_IN;Velo_OUT
2016010100;0.000;1.139;0.000;0.000
2016010101;0.000;0.000;0.000;0.000
2016010102;0.000;0.000;0.000;0.000
2016010103;0.000;0.000;0.000;0.000
2016010104;0.000;0.000;0.000;0.000
2016010105;0.000;0.000;0.000;0.000
2016010106;0.000;0.000;0.000;0.000
2016010107;0.000;0.000;0.000;0.000
2016010108;0.000;1.139;0.000;0.000
2016010109;1.685;1.139;1.065;0.000
2016010110;5.054;4.554;0.000;0.000
2016010111;5.897;7.970;0.000;1.027
2016010112;3.370;5.693;0.000;1.027
2016010113;4.212;2.277;2.131;1.027
2016010114;7.582;6.832;2.131;3.082
2016010115;8.424;13.663;2.131;1.027
2016010116;4.212;4.554;1.065;1.027
2016010117;0.842;7.970;3.196;3.082
2016010118;0.000;0.000;0.000;0.000
2016010119;0.000;0.000;0.000;0.000
2016010120;0.000;0.000;0.000;0.000
2016010121;0.000;0.000;0.000;0.000
2016010122;0.000;0.000;0.000;0.000
2016010123;0.000;0.000;0.000;0.000
2016010200;0.000;0.000;0.000;0.000
2016010201;0.000;0.000;0.000;0.000
2016010202;0.000;0.000;0.000;0.000
2016010203;0.000;0.000;0.000;0.000
2016010204;0.000;0.000;0.000;0.000
2016010205;0.000;0.000;0.000;0.000
2016010206;0.000;0.000;0.000;0.000
2016010207;0.000;0.000;0.000;0.000
2016010208;0.000;1.139;0.000;0.000
2016010209;1.685;0.000;1.065;0.000
2016010210;6.739;2.277;0.000;1.027
2016010211;2.527;7.970;2.131;0.000
2016010212;2.527;6.832;0.000;2.055
2016010213;1.685;2.277;1.065;1.027
2016010214;2.527;1.139;1.065;0.000
2016010215;0.842;0.000;0.000;0.000
2016010216;1.685;2.277;0.000;0.000
2016010217;0.000;0.000;0.000;0.000
2016010218;0.000;0.000;0.000;0.000
2016010219;0.000;0.000;0.000;0.000
2016010220;0.000;0.000;0.000;0.000
2016010221;0.000;0.000;0.000;0.000
2016010222;0.000;0.000;0.000;0.000
2016010223;0.000;0.000;0.000;0.000
2016010300;0.000;0.000;0.000;0.000
2016010301;0.000;0.000;0.000;0.000
2016010302;0.000;0.000;0.000;0.000
2016010303;0.000;0.000;0.000;0.000
2016010304;0.000;0.000;0.000;0.000
2016010305;0.000;0.000;0.000;0.000
2016010306;0.000;0.000;0.000;0.000
2016010307;0.000;1.139;0.000;0.000
2016010308;1.685;1.139;1.065;1.027
2016010309;3.370;5.693;1.065;0.000
2016010310;5.054;2.277;0.000;0.000
2016010311;14.321;11.386;2.131;2.055
2016010312;13.478;14.802;5.327;1.027
2016010313;8.424;10.247;11.718;6.164
2016010314;16.848;18.218;10.653;9.246
2016010315;7.582;9.109;4.261;3.082
2016010316;3.370;4.554;0.000;8.218
2016010317;0.842;1.139;3.196;0.000
2016010318;0.000;0.000;0.000;0.000
2016010319;0.000;0.000;0.000;0.000
2016010320;0.000;0.000;0.000;0.000
2016010321;0.000;0.000;0.000;0.000
2016010322;0.000;0.000;0.000;0.000
2016010323;0.000;0.000;0.000;0.000
2016010400;0.000;0.000;0.000;0.000
2016010401;0.000;0.000;0.000;0.000
2016010402;0.000;0.000;0.000;0.000
2016010403;0.000;0.000;0.000;0.000
2016010404;0.000;0.000;0.000;0.000
2016010405;0.000;0.000;0.000;0.000
2016010406;0.000;0.000;0.000;1.027
2016010407;0.842;0.000;0.000;0.000
2016010408;1.685;0.000;1.065;0.000
2016010409;0.842;0.000;0.000;0.000
2016010410;1.685;3.416;0.000;0.000
2016010411;0.000;0.000;0.000;0.000
2016010412;0.000;1.139;0.000;0.000
2016010413;2.527;0.000;0.000;1.027
2016010414;0.842;1.139;0.000;0.000
2016010415;0.000;0.000;0.000;0.000
2016010416;1.685;0.000;1.065;0.000
2016010417;0.842;2.277;1.065;1.027
2016010418;0.000;0.000;0.000;0.000
2016010419;0.000;0.000;0.000;0.000
2016010420;0.000;0.000;0.000;0.000
2016010421;0.000;0.000;0.000;0.000
2016010422;0.000;0.000;0.000;0.000
2016010423;0.000;0.000;0.000;0.000
2016010500;0.000;0.000;0.000;0.000
2016010501;0.000;0.000;0.000;0.000
2016010502;0.000;0.000;0.000;0.000
2016010503;0.000;0.000;0.000;0.000
2016010504;0.000;0.000;0.000;0.000
2016010505;0.000;0.000;0.000;0.000
2016010506;0.000;0.000;0.000;0.000
2016010507;0.842;0.000;0.000;0.000
2016010508;0.842;0.000;0.000;0.000
2016010509;4.212;4.554;1.065;0.000
2016010510;6.739;2.277;2.131;0.000
2016010511;1.685;10.247;1.065;0.000
2016010512;0.000;1.139;0.000;1.027
2016010513;3.370;2.277;0.000;0.000
2016010514;4.212;4.554;0.000;2.055
2016010515;5.054;5.693;0.000;1.027
2016010516;3.370;3.416;2.131;0.000
2016010517;0.842;2.277;0.000;1.027
2016010518;0.842;0.000;0.000;0.000
2016010519;0.000;0.000;0.000;0.000
2016010520;0.000;0.000;0.000;0.000
2016010521;0.000;0.000;0.000;0.000
2016010522;0.000;0.000;0.000;0.000
2016010523;0.000;0.000;0.000;0.000
2016010600;0.000;0.000;0.000;0.000
2016010601;0.000;0.000;0.000;0.000
2016010602;0.000;0.000;0.000;0.000
2016010603;0.000;0.000;0.000;0.000
2016010604;0.000;0.000;0.000;0.000
2016010605;0.000;0.000;0.000;0.000
2016010606;0.842;0.000;0.000;0.000
2016010607;0.000;0.000;0.000;2.055
2016010608;0.842;0.000;1.065;1.027
2016010609;0.842;1.139;4.261;0.000
2016010610;0.000;1.139;1.065;1.027
2016010611;1.685;4.554;1.065;0.000
2016010612;0.842;0.000;1.065;2.055
2016010613;0.000;2.277;0.000;0.000
2016010614;2.527;3.416;0.000;0.000
2016010615;4.212;0.000;0.000;0.000
2016010616;2.527;3.416;0.000;0.000
2016010617;0.842;1.139;0.000;1.027
2016010618;0.000;0.000;0.000;1.027
2016010619;0.000;0.000;1.065;0.000
2016010620;0.000;0.000;0.000;0.000
2016010621;0.000;0.000;0.000;0.000
2016010622;0.000;0.000;0.000;0.000
2016010623;0.000;0.000;0.000;0.000
2016010700;0.000;0.000;0.000;0.000
2016010701;0.000;0.000;0.000;0.000
2016010702;0.000;0.000;0.000;0.000
2016010703;0.000;0.000;0.000;0.000
2016010704;0.000;0.000;0.000;0.000
2016010705;0.000;0.000;0.000;0.000
2016010706;0.000;0.000;0.000;0.000
2016010707;2.527;0.000;0.000;0.000
2016010708;3.370;1.139;1.065;1.027
2016010709;0.842;0.000;0.000;0.000
2016010710;2.527;2.277;0.000;0.000
2016010711;0.842;3.416;1.065;0.000
2016010712;1.685;0.000;0.000;0.000
2016010713;0.000;0.000;0.000;0.000
2016010714;0.000;1.139;0.000;1.027
2016010715;0.000;0.000;0.000;0.000
2016010716;0.000;0.000;0.000;0.000
2016010717;0.000;0.000;0.000;0.000
2016010718;0.000;0.000;0.000;0.000
2016010719;0.000;0.000;0.000;0.000
2016010720;0.000;0.000;0.000;0.000
2016010721;0.000;0.000;0.000;1.027
2016010722;0.000;0.000;0.000;0.000
2016010723;0.000;0.000;0.000;0.000
2016010800;0.000;0.000;0.000;0.000
2016010801;0.000;0.000;0.000;0.000
2016010802;0.000;0.000;0.000;0.000
2016010803;0.000;0.000;0.000;0.000
2016010804;0.000;0.000;0.000;0.000
2016010805;0.000;0.000;0.000;0.000
2016010806;0.000;0.000;0.000;0.000
2016010807;1.685;0.000;0.000;0.000
2016010808;2.527;1.139;2.131;0.000
2016010809;1.685;0.000;0.000;0.000
2016010810;0.842;1.139;0.000;1.027
2016010811;5.897;7.970;1.065;1.027
2016010812;0.000;0.000;2.131;0.000
2016010813;0.842;3.416;1.065;0.000
2016010814;2.527;5.693;2.131;0.000
2016010815;1.685;0.000;0.000;0.000
2016010816;0.842;0.000;1.065;0.000
2016010817;1.685;0.000;0.000;1.027
2016010818;0.000;0.000;0.000;0.000
2016010819;0.000;0.000;0.000;0.000
2016010820;0.000;0.000;0.000;0.000
2016010821;0.000;0.000;0.000;0.000
2016010822;0.000;0.000;0.000;0.000
2016010823;0.000;0.000;0.000;0.000
2016010900;0.000;0.000;0.000;0.000
2016010901;0.000;0.000;0.000;0.000
2016010902;0.000;0.000;0.000;0.000
2016010903;0.000;0.000;0.000;0.000
2016010904;0.000;0.000;0.000;0.000
2016010905;0.000;0.000;0.000;0.000
2016010906;0.000;0.000;0.000;0.000
2016010907;0.000;0.000;0.000;0.000
2016010908;1.685;0.000;0.000;0.000
2016010909;0.842;3.416;0.000;0.000
2016010910;0.000;0.000;0.000;0.000
2016010911;0.842;1.139;0.000;0.000
2016010912;0.842;1.139;1.065;1.027
2016010913;0.842;3.416;1.065;1.027
2016010914;2.527;1.139;1.065;1.027
2016010915;4.212;1.139;3.196;0.000
2016010916;5.897;9.109;0.000;0.000
2016010917;0.000;1.139;0.000;0.000
2016010918;0.000;0.000;0.000;0.000
2016010919;0.000;0.000;0.000;0.000
2016010920;0.000;0.000;0.000;0.000
2016010921;0.000;0.000;0.000;0.000
2016010922;0.000;1.139;0.000;0.000
2016010923;0.000;0.000;0.000;0.000
2016011000;0.000;0.000;0.000;0.000
2016011001;0.842;0.000;0.000;0.000
2016011002;0.000;0.000;0.000;0.000
2016011003;0.000;0.000;0.000;0.000
2016011004;0.000;0.000;0.000;0.000
2016011005;0.000;0.000;0.000;0.000
2016011006;0.000;0.000;0.000;0.000
2016011007;0.000;0.000;0.000;0.000
2016011008;0.000;0.000;0.000;0.000
2016011009;7.582;9.109;2.131;1.027
2016011010;1.685;0.000;2.131;0.000
2016011011;1.685;1.139;0.000;0.000
2016011012;1.685;4.554;0.000;0.000
2016011013;4.212;4.554;0.000;3.082
2016011014;9.266;7.970;0.000;1.027
2016011015;5.054;7.970;1.065;3.082
2016011016;0.842;5.693;1.065;0.000
2016011017;0.000;1.139;0.000;0.000
2016011018;0.000;0.000;0.000;0.000
2016011019;0.000;0.000;0.000;0.000
2016011020;0.000;0.000;0.000;0.000
2016011021;0.000;0.000;0.000;0.000
2016011022;0.000;0.000;0.000;0.000
2016011023;0.000;0.000;0.000;0.000
2016011100;0.000;0.000;0.000;0.000
2016011101;0.000;0.000;0.000;0.000
2016011102;0.000;0.000;0.000;0.000
2016011103;0.000;0.000;0.000;0.000
2016011104;0.000;0.000;0.000;0.000
2016011105;0.000;0.000;0.000;0.000
2016011106;0.000;0.000;0.000;0.000
2016011107;0.000;0.000;1.065;0.000
2016011108;2.527;2.277;1.065;0.000
2016011109;3.370;2.277;0.000;0.000
2016011110;0.842;3.416;0.000;0.000
2016011111;0.842;0.000;0.000;1.027
2016011112;1.685;2.277;1.065;0.000
2016011113;0.000;0.000;0.000;0.000
2016011114;0.000;4.554;1.065;0.000
2016011115;1.685;1.139;0.000;0.000
2016011116;1.685;0.000;1.065;0.000
2016011117;0.842;3.416;1.065;2.055
2016011118;0.000;0.000;0.000;0.000
2016011119;0.000;0.000;0.000;0.000
2016011120;0.000;0.000;0.000;0.000
2016011121;0.000;0.000;0.000;0.000
2016011122;0.000;0.000;0.000;0.000
2016011123;0.000;0.000;0.000;0.000
