Ferien,Jahr,Start,Ende
Winter,2016,2017-01-01,2017-01-08
Fruehling,2017,2017-04-15,2017-04-30
Sommer,2017,2017-07-15,2017-08-20
Herbst,2017,2017-10-07,2017-10-22
Winter,2017,2017-12-23,2018-01-07
Fruehling,2018,2018-04-21,2018-05-06
Sommer,2018,2018-07-14,2018-08-19
Herbst,2018,2018-10-06,2018-10-21
Winter,2018,2018-12-22,2019-01-06
Fruehling,2019,2019-04-20,2019-05-05
Sommer,2019,2019-07-13,2019-08-18
Herbst,2019,2019-10-05,2019-10-20
Winter,2019,2019-12-21,2020-01-05
Fruehling,2020,2020-04-11,2020-04-26
Sommer,2020,2020-07-11,2020-08-16
Herbst,2020,2020-10-03,2020-10-18
Winter,2020,2020-12-19,2021-01-03
Fruehling,2021,2021-04-24,2021-05-09
Sommer,2021,2021-07-17,2021-08-22
Herbst,2021,2021-10-09,2021-10-24
Winter,2021,2021-12-18,2022-01-02
Fruehling,2022,2022-04-16,2022-05-01
Sommer,2022,2022-07-16,2022-08-21
Herbst,2022,2022-10-08,2022-10-23
Winter,2022,2022-12-24,2023-01-08
Fruehling, 2023,2023-04-22,2023-05-07
Sommer, 2023,2023-07-15,2023-08-20
Herbst,2023,2023-10-17,2023-10-21
Winter, 2023,2023-12-24,2024-01-07
Fruehling,2024,2024-04-20,2024-05-04
Sommer,2024, 2024-07-13,2024-08-18
Herbst,2024,2024-10-05,2024-10-20
Winter,2024,2024-12-21,2025-01-05
