stn;time;tre200nx;tre200jx;rre150n0;rre150j0;sremaxdv
WAE;20160101;4.9;6.0;0.0;0.0;8
WAE;20160102;5.0;5.8;3.9;6.6;0
WAE;20160103;3.7;5.8;6.7;0.3;11
WAE;20160104;3.1;4.4;1.3;9.6;2
WAE;20160105;5.3;7.0;0.1;0.0;51
WAE;20160106;4.6;6.2;4.4;0.0;34
WAE;20160107;7.2;3.5;0.6;7.9;0
WAE;20160108;5.9;5.4;16.0;6.3;0
WAE;20160109;5.8;7.4;0.0;5.3;0
WAE;20160110;6.6;6.7;8.9;10.7;0
WAE;20160111;7.2;8.9;3.6;4.0;8
WAE;20160112;5.0;7.0;2.4;1.5;3
WAE;20160113;1.3;3.8;0.0;4.6;0
WAE;20160114;3.1;0.9;3.0;0.7;0
WAE;20160115;1.3;2.8;0.8;0.0;0
WAE;20160116;0.2;0.6;0.4;0.8;5
WAE;20160117;-3.8;0.1;0.0;1.8;2
WAE;20160118;-3.7;-4.8;0.0;0.0;74
WAE;20160119;0.9;-0.8;4.0;0.2;0
WAE;20160120;1.4;1.4;0.0;0.9;0
WAE;20160121;0.3;1.1;0.0;0.0;53
WAE;20160122;1.9;1.1;0.6;0.0;62
WAE;20160123;2.5;6.3;0.0;0.3;23
WAE;20160124;3.9;4.7;0.0;0.0;2
WAE;20160125;6.9;8.8;0.0;0.0;99
WAE;20160126;6.6;10.2;0.0;0.0;71
WAE;20160127;8.4;9.9;0.0;0.0;24
WAE;20160128;8.8;10.9;2.8;0.0;7
WAE;20160129;6.6;10.0;0.0;0.1;36
WAE;20160130;10.6;10.8;13.6;0.0;62
WAE;20160131;12.9;6.8;2.9;12.9;0
WAE;20160201;9.6;14.7;0.0;0.0;16
WAE;20160202;9.7;12.0;0.3;0.0;84
WAE;20160203;2.7;7.3;3.3;22.5;0
WAE;20160204;5.4;4.6;6.3;0.8;0
WAE;20160205;6.0;7.8;0.0;0.0;39
WAE;20160206;7.0;11.1;0.0;0.0;95
WAE;20160207;4.4;8.8;0.1;2.3;3
WAE;20160208;11.1;10.8;0.2;0.0;32
WAE;20160209;10.1;13.7;4.2;1.8;0
WAE;20160210;3.1;4.3;0.0;1.1;6
WAE;20160211;2.7;5.3;1.6;0.0;83
WAE;20160212;3.1;5.0;4.1;0.2;49
WAE;20160213;8.8;7.0;0.2;2.5;30
WAE;20160214;3.4;7.6;0.0;5.4;18
WAE;20160215;1.9;4.8;3.0;3.0;0
WAE;20160216;2.8;2.5;0.0;0.0;0
WAE;20160217;2.7;2.9;0.0;0.0;0
WAE;20160218;4.5;6.8;1.1;0.0;41
WAE;20160219;2.1;2.6;0.0;0.8;0
WAE;20160220;6.0;2.6;5.7;5.4;0
WAE;20160221;12.1;16.1;0.0;0.0;42
WAE;20160222;11.7;17.0;3.1;0.0;64
WAE;20160223;1.8;10.3;4.2;7.5;3
WAE;20160224;2.2;4.9;7.8;0.8;50
WAE;20160225;1.7;1.7;0.0;11.1;0
WAE;20160226;2.6;4.6;0.0;0.0;10
WAE;20160227;2.7;5.2;0.0;0.0;37
WAE;20160228;4.4;5.4;0.1;0.0;1
WAE;20160229;1.1;3.3;5.4;4.3;0
WAE;20160301;3.8;4.9;3.3;0.7;21
WAE;20160302;3.4;7.9;1.8;9.3;11
WAE;20160303;2.5;3.8;0.7;2.2;4
WAE;20160304;3.9;5.1;0.0;0.0;18
WAE;20160305;2.4;3.7;3.5;13.0;0
WAE;20160306;1.3;5.3;0.2;0.4;25
WAE;20160307;2.9;5.5;2.9;0.0;63
WAE;20160308;1.0;2.4;0.0;4.1;12
WAE;20160309;2.1;5.6;0.0;0.0;82
WAE;20160310;4.9;8.7;0.0;0.0;98
WAE;20160311;6.0;7.9;0.0;0.0;36
WAE;20160312;5.1;6.0;0.0;0.0;0
WAE;20160313;5.5;6.5;0.0;0.0;0
WAE;20160314;5.0;5.3;0.0;0.0;0
WAE;20160315;1.9;6.6;0.4;3.0;27
WAE;20160316;4.7;6.3;0.0;0.0;19
WAE;20160317;7.7;11.4;0.0;0.0;97
WAE;20160318;10.0;13.7;0.0;0.0;99
WAE;20160319;10.0;14.4;0.0;0.0;98
WAE;20160320;8.3;10.3;0.0;0.0;56
WAE;20160321;5.0;7.0;0.0;0.0;0
WAE;20160322;7.5;10.9;0.0;0.0;49
WAE;20160323;5.2;7.8;0.0;0.4;7
WAE;20160324;8.1;10.1;0.0;0.0;34
WAE;20160325;6.9;7.8;3.8;6.3;0
WAE;20160326;11.7;14.9;0.0;0.0;83
WAE;20160327;7.8;12.0;0.5;0.3;9
WAE;20160328;13.2;13.9;0.8;0.0;58
WAE;20160329;10.4;14.2;0.3;1.7;33
WAE;20160330;14.9;16.7;0.0;0.0;19
WAE;20160331;18.9;22.4;0.0;0.0;72
WAE;20160401;11.2;13.5;0.0;0.0;6
WAE;20160402;13.5;15.5;0.0;0.0;29
WAE;20160403;18.5;21.0;0.0;0.0;45
WAE;20160404;16.9;20.0;0.0;0.0;88
WAE;20160405;13.2;18.0;9.7;0.0;52
WAE;20160406;13.2;14.2;0.0;1.1;23
WAE;20160407;6.2;11.4;1.7;0.0;0
WAE;20160408;5.7;7.7;0.8;2.7;0
WAE;20160409;7.7;8.7;0.0;0.0;0
WAE;20160410;13.2;16.5;0.0;0.0;89
WAE;20160411;15.9;19.6;1.1;0.0;85
WAE;20160412;16.2;19.4;0.0;0.0;77
WAE;20160413;9.2;13.1;1.8;4.2;20
WAE;20160414;12.1;13.7;0.0;1.4;45
WAE;20160415;11.3;13.5;0.1;1.9;7
WAE;20160416;13.3;15.3;10.1;6.2;15
WAE;20160417;7.9;11.7;8.3;11.0;0
WAE;20160418;4.5;6.0;5.8;11.9;0
WAE;20160419;12.1;13.9;0.0;0.0;58
WAE;20160420;14.9;17.9;0.0;0.0;100
WAE;20160421;17.9;20.2;0.0;0.0;93
WAE;20160422;16.2;19.9;11.6;0.0;68
WAE;20160423;7.6;13.5;14.1;14.1;0
WAE;20160424;3.9;6.6;2.1;2.5;24
WAE;20160425;7.3;7.8;0.1;0.1;24
WAE;20160426;8.6;10.8;8.7;0.9;4
WAE;20160427;4.4;8.6;0.0;1.4;28
WAE;20160428;9.3;11.5;0.0;0.0;61
WAE;20160429;14.1;15.0;0.0;0.0;98
WAE;20160430;9.0;17.5;3.2;0.0;57
WAE;20160501;5.8;6.4;7.0;5.4;0
WAE;20160502;10.5;13.6;0.0;0.1;9
WAE;20160503;8.8;14.1;1.9;14.0;14
WAE;20160504;13.1;15.1;0.0;0.0;81
WAE;20160505;18.1;19.9;0.0;0.0;100
WAE;20160506;20.4;22.2;0.0;0.0;99
WAE;20160507;20.0;23.6;0.0;0.0;88
WAE;20160508;20.1;23.3;0.0;0.0;91
WAE;20160509;19.6;22.4;0.0;0.0;34
WAE;20160510;19.9;22.8;0.0;0.0;52
WAE;20160511;18.9;20.4;1.7;0.0;25
WAE;20160512;10.7;11.8;14.9;28.3;0
WAE;20160513;11.8;11.7;15.6;20.3;0
WAE;20160514;9.5;14.8;2.6;9.9;12
WAE;20160515;10.0;12.1;0.0;0.0;10
WAE;20160516;10.1;11.9;1.0;0.3;5
WAE;20160517;14.6;15.4;0.0;0.0;15
WAE;20160518;17.7;19.7;19.4;0.0;68
WAE;20160519;10.6;12.1;0.0;2.5;1
WAE;20160520;16.9;18.4;0.0;0.0;76
WAE;20160521;23.1;23.7;0.0;0.0;86
WAE;20160522;18.6;27.0;9.1;0.0;80
WAE;20160523;8.9;9.8;8.4;8.6;0
