Farm;Sex;Length;Ecervi
AL;male;164;0
AL;female;216;0
AL;female;208;0
AL;female;206;1
AL;female;204;0
AL;female;200;0
AL;female;199;1
AL;female;197;1
AL;female;196;1
AL;female;196;0
AL;female;192;1
AL;female;191;0
AL;female;190;0
AL;female;180;0
AL;female;178;1
AU;female;195;1
AU;female;190;1
AU;female;188;1
AU;female;185;1
AU;female;185;1
AU;female;184;1
AU;female;184;1
AU;female;184;1
AU;female;180;1
AU;female;180;0
AU;female;178;1
AU;female;176;1
AU;female;175;1
AU;female;175;1
AU;female;174;1
AU;female;174;1
AU;female;173;1
AU;female;173;1
AU;female;172;1
AU;female;170;1
AU;female;170;1
AU;female;170;0
AU;female;169;1
AU;female;169;1
AU;female;169;1
AU;female;167;1
AU;female;161;1
AU;female;160;1
AU;female;158;1
AU;female;155;0
AU;female;153;1
AU;female;153;0
BA;male;168.5;1
BA;male;168;1
BA;male;168;1
BA;male;165.2;0
BA;male;164.3;1
BA;male;164;1
BA;male;161;1
BA;male;161;1
BA;male;159;1
BA;male;156;1
BA;male;156;0
BA;male;154;1
BA;male;153.5;1
BA;male;150;0
BA;male;148;1
BA;male;148;0
BA;male;145;1
BA;male;145;0
BA;male;143;1
BA;male;140;1
BA;male;139;1
BA;male;138;1
BA;male;138;1
BA;male;137;1
BA;male;137;0
BA;male;129;1
BA;male;125;0
BA;male;122;0
BA;female;202;1
BA;female;187;1
BA;female;187;1
BA;female;187;1
BA;female;186;1
BA;female;185;1
BA;female;183;1
BA;female;182;1
BA;female;181;1
BA;female;180;1
BA;female;178;1
BA;female;178;1
BA;female;177;1
BA;female;176;1
BA;female;175;1
BA;female;173;1
BA;female;170;1
BA;female;170;1
BA;female;169;1
BA;female;159;1
BA;female;159;1
BA;female;132;0
BE;male;122;1
BE;female;180;1
BE;female;175;1
BE;female;170.5;1
BE;female;166.6;1
BE;female;165;1
BE;female;162;1
BE;female;160;1
BE;female;158;1
BE;female;158;1
BE;female;156;1
BE;female;154;1
BE;female;145;1
CB;male;174.8;1
CB;male;174;1
CB;male;171;1
CB;male;169;1
CB;male;168;1
CB;male;168;1
CB;male;167;1
CB;male;165;1
CB;male;164;1
CB;male;164;1
CB;male;164;1
CB;male;163;1
CB;male;162;1
CB;male;162;1
CB;male;162;1
