Site;Cogo;Satr;Phph;Babl;Thth;Teso;Chna;Pato;Lele;Sqce;Baba;Albi;Gogo;Eslu;Pefl;Rham;Legi;Scer;Cyca;Titi;Abbr;Icme;Gyce;Ruru;Blbj;Alal;Anan
S1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S2;0;5;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S3;0;5;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
S4;0;4;5;5;0;0;0;0;0;1;0;0;1;2;2;0;0;0;0;1;0;0;0;0;0;0;0
S5;0;2;3;2;0;0;0;0;5;2;0;0;2;4;4;0;0;2;0;3;0;0;0;5;0;0;0
S6;0;3;4;5;0;0;0;0;1;2;0;0;1;1;1;0;0;0;0;2;0;0;0;1;0;0;0
S7;0;5;4;5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S8;0;0;1;3;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0
S9;0;1;4;4;0;0;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S10;1;3;4;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S11;2;5;4;4;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S12;2;5;5;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S13;3;5;5;4;4;3;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
S14;3;4;4;5;2;4;0;0;3;3;2;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
S15;2;3;3;5;0;5;0;4;5;2;2;1;2;1;1;0;1;0;1;1;0;0;0;1;0;0;0
S16;1;2;4;4;1;2;1;4;3;2;3;4;1;1;2;1;1;0;1;1;0;0;0;2;0;2;1
S17;1;1;3;3;1;1;1;3;2;3;3;3;2;1;3;2;1;0;1;1;0;0;1;2;0;2;1
S18;0;0;3;5;0;1;2;3;2;1;2;2;4;1;1;2;1;1;1;2;1;0;1;5;1;3;1
S19;0;0;1;2;0;0;2;2;2;3;4;3;4;2;2;3;2;2;1;4;1;0;2;5;2;5;2
S20;0;0;1;1;0;0;2;2;2;2;4;2;5;3;3;3;2;2;2;4;3;1;3;5;3;5;2
S21;0;0;0;1;0;0;3;2;3;4;5;1;5;3;4;3;3;2;3;4;4;2;4;5;4;5;2
S22;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0
S23;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;2;2;1;5;0
S24;0;0;0;0;0;0;0;0;1;1;0;0;2;1;0;0;0;1;0;0;0;0;1;1;0;3;0
S25;0;0;0;1;0;0;1;0;1;2;2;1;3;2;1;2;2;1;1;3;2;1;4;4;2;5;2
S26;0;0;0;1;0;0;1;1;2;3;4;1;4;4;1;3;3;1;2;5;3;2;5;5;4;5;3
S27;0;0;0;1;0;0;1;1;2;4;3;1;4;3;2;4;4;2;4;4;3;3;5;5;5;5;4
S28;0;1;1;1;1;1;2;2;3;4;5;3;5;5;4;5;5;2;3;3;4;4;5;5;4;5;4
S29;0;0;0;0;0;0;1;2;3;3;3;5;5;4;5;5;3;5;5;5;5;5;5;5;5;5;5
