ID_plot;year;site_code;site_no;treatment;plot_type;SR;inverseSimpson;BergerParker
Eul_A1_MP_14;2014;Eul;4;M;O;44;11.41408534;0.19267823
Eul_A1_MP_18;2018;Eul;4;M;O;48;9.9009901;0.21
Eul_A2_MK_14;2014;Eul;4;M;F;44;10.24977619;0.18691589
Eul_A2_MK_18;2018;Eul;4;M;F;47;6.51211253;0.35
Eul_B1_WP_14;2014;Eul;4;U;O;43;12.34762323;0.15473888
Eul_B1_WP_18;2018;Eul;4;U;O;29;5.23234871;0.2994012
Eul_B2_WK_14;2014;Eul;4;U;F;44;14.5210509;0.1459144
Eul_B2_WK_18;2018;Eul;4;U;F;24;3.69603785;0.47
Eul_C1_BK_14;2014;Eul;4;B;F;45;10.57118657;0.23854962
Eul_C1_BK_18;2018;Eul;4;B;F;37;12.07729469;0.14
Eul_C2_BP_14;2014;Eul;4;B;O;38;9.73165397;0.21653543
Eul_C2_BP_18;2018;Eul;4;B;O;35;8.99604174;0.2
Kug_A1_WK_14;2014;Kug;3;U;F;49;7.38841978;0.28571429
Kug_A1_WK_18;2018;Kug;3;U;F;41;8.34947565;0.26
Kug_A2_WP_14;2014;Kug;3;U;O;46;4.31456819;0.45627376
Kug_A2_WP_18;2018;Kug;3;U;O;36;11.25315088;0.16
Kug_B1_BK_14;2014;Kug;3;B;F;49;11.21849653;0.24131274
Kug_B1_BK_18;2018;Kug;3;B;F;42;8.77747349;0.24
Kug_B2_BP_14;2014;Kug;3;B;O;44;4.93163551;0.4238921
Kug_B2_BP_18;2018;Kug;3;B;O;42;5.96759097;0.36633663
Kug_C1_MP_14;2014;Kug;3;M;O;53;12.94351494;0.14231499
Kug_C1_MP_18;2018;Kug;3;M;O;49;15.93371574;0.12
Kug_C2_MK_14;2014;Kug;3;M;F;51;9.85868873;0.22727273
Kug_C2_MK_18;2018;Kug;3;M;F;48;5.43194855;0.4
Nun_A1_MK_14;2014;Nun;5;M;F;48;12.09074835;0.17208413
Nun_A1_MK_18;2018;Nun;5;M;F;43;8.87468939;0.25
Nun_A2_MP_14;2014;Nun;5;M;O;45;11.23632681;0.19379845
Nun_A2_MP_18;2018;Nun;5;M;O;52;16.10202241;0.12
Nun_B1_WP_14;2014;Nun;5;U;O;44;10.82215743;0.17241379
Nun_B1_WP_18;2018;Nun;5;U;O;40;9.12209005;0.2
Nun_B2_WK_14;2014;Nun;5;U;F;43;10.43357729;0.20618557
Nun_B2_WK_18;2018;Nun;5;U;F;33;4.84834381;0.368
Nun_C1_BK_14;2014;Nun;5;B;F;44;11.43833431;0.17241379
Nun_C1_BK_18;2018;Nun;5;B;F;36;8.5999312;0.18
Nun_C2_BP_14;2014;Nun;5;B;O;42;12.92006934;0.15444015
Nun_C2_BP_18;2018;Nun;5;B;O;43;11.71508903;0.16
SomO_A1_BK_14;2014;SomO;2;B;F;52;12.03382287;0.23076923
SomO_A1_BK_18;2018;SomO;2;B;F;46;7.94104568;0.26
SomO_A2_BP_14;2014;SomO;2;B;O;53;13.35765956;0.14395393
SomO_A2_BP_18;2018;SomO;2;B;O;44;10.6974754;0.18
SomO_B1_MP_14;2014;SomO;2;M;O;51;8.95247849;0.20637899
SomO_B1_MP_18;2018;SomO;2;M;O;48;8.54642418;0.278
SomO_B2_MK_14;2014;SomO;2;M;F;40;11.50181477;0.1734104
SomO_B2_MK_18;2018;SomO;2;M;F;29;2.53817414;0.61
SomO_C1_WK_14;2014;SomO;2;U;F;51;9.98939372;0.22727273
SomO_C1_WK_18;2018;SomO;2;U;F;27;3.05533829;0.538
SomO_C2_WP_14;2014;SomO;2;U;O;51;11.89320388;0.19047619
SomO_C2_WP_18;2018;SomO;2;U;O;41;4.0763085;0.46
SomW_A1_BK_14;2014;SomW;1;B;F;43;8.63055872;0.26819923
SomW_A1_BK_18;2018;SomW;1;B;F;38;9.05010136;0.2
SomW_A2_BP_14;2014;SomW;1;B;O;44;6.07945931;0.36821705
SomW_A2_BP_18;2018;SomW;1;B;O;38;12.09482342;0.19
SomW_B1_MK_14;2014;SomW;1;M;F;55;4.72246696;0.41977612
SomW_B1_MK_18;2018;SomW;1;M;F;38;3.33324445;0.53
SomW_B2_MP_14;2014;SomW;1;M;O;46;14.60925065;0.14340344
SomW_B2_MP_18;2018;SomW;1;M;O;46;12.31527094;0.15
SomW_C1_WP_14;2014;SomW;1;U;O;60;10.47740462;0.2362949
SomW_C1_WP_18;2018;SomW;1;U;O;39;10.09611501;0.22
SomW_C2_WK_14;2014;SomW;1;U;F;61;10.00221162;0.20446097
SomW_C2_WK_18;2018;SomW;1;U;F;29;5.00380289;0.4
