PlantHeight;Treatment;Time;PlantID
5;Water;T0;P01
7;Water;T1;P01
9;Water;T2;P01
11;Water;T3;P01
6;Nitrogen;T0;P02
9;Nitrogen;T1;P02
12;Nitrogen;T2;P02
15;Nitrogen;T3;P02
7;Phosphorus;T0;P03
8;Phosphorus;T1;P03
10;Phosphorus;T2;P03
12;Phosphorus;T3;P03
5;Water;T0;P04
6;Water;T1;P04
8;Water;T2;P04
10;Water;T3;P04
5;Nitrogen;T0;P05
10;Nitrogen;T1;P05
13;Nitrogen;T2;P05
16;Nitrogen;T3;P05
6;Phosphorus;T0;P06
7;Phosphorus;T1;P06
9;Phosphorus;T2;P06
11;Phosphorus;T3;P06
6;Water;T0;P07
7;Water;T1;P07
9;Water;T2;P07
12;Water;T3;P07
4;Nitrogen;T0;P08
11;Nitrogen;T1;P08
14;Nitrogen;T2;P08
17;Nitrogen;T3;P08
7;Phosphorus;T0;P09
9;Phosphorus;T1;P09
11;Phosphorus;T2;P09
13;Phosphorus;T3;P09
6;Water;T0;P10
8;Water;T1;P10
10;Water;T2;P10
11;Water;T3;P10
5;Nitrogen;T0;P11
8;Nitrogen;T1;P11
12;Nitrogen;T2;P11
17;Nitrogen;T3;P11
4;Phosphorus;T0;P12
6;Phosphorus;T1;P12
7;Phosphorus;T2;P12
11;Phosphorus;T3;P12
6;Water;T0;P13
7;Water;T1;P13
9;Water;T2;P13
11;Water;T3;P13
5;Nitrogen;T0;P14
9;Nitrogen;T1;P14
13;Nitrogen;T2;P14
18;Nitrogen;T3;P14
6;Phosphorus;T0;P15
9;Phosphorus;T1;P15
11;Phosphorus;T2;P15
14;Phosphorus;T3;P15
4;Water;T0;P16
6;Water;T1;P16
8;Water;T2;P16
10;Water;T3;P16
6;Nitrogen;T0;P17
10;Nitrogen;T1;P17
13;Nitrogen;T2;P17
16;Nitrogen;T3;P17
5;Phosphorus;T0;P18
9;Phosphorus;T1;P18
11;Phosphorus;T2;P18
12;Phosphorus;T3;P18
