"pH.peat";"log.ash.perc";"Ca_peat";"Mg_peat";"Na_peat";"K_peat";"Acidity.peat";"CEC.peat";"Base.sat.perc";"P.peat";"Waterlev.max";"Waterlev.av";"Waterlev.min";"log.peat.lev";"log.slope.deg";"pH.water";"log.cond.water";"log.Ca.water";"x.axis";"y.axis"
3,9;1,62;7,2;0,7;0,26;0,5;41;50;17;3;1;13;51;0,65;0;4,3;1,5;1,27;8;9
3,6;1,3;8,8;0,66;0,3;0,6;53;63;16;8;5;14;32;0,54;0,77;5,1;1,49;1,44;7;9
4,4;1,77;14,1;0,99;0,22;0,33;26;41;38;1;0;15;66;0,47;0,77;5,5;1,44;1,54;6;9
4,3;1,8;9,2;0,66;0,22;0,22;26;36;29;1;1;12;48;0,54;1;4,4;1,43;1,32;5;9
4,8;1,83;10,5;0,99;0,17;0,28;23;34;35;1;2;16;59;0,39;1,07;5,5;1,34;1,44;4;9
4,8;1,82;8,8;0,66;0,17;0,28;22;31;32;1;1;12;45;0,6;1,2;4,4;1,46;1,38;3;9
4,7;1,87;11,4;0,66;0,17;0,28;23;36;35;0;1;13;50;0,39;1,17;4,3;1,49;1,27;2;9
4,3;1,3;12,7;1,17;0,3;0,99;40;55;27;8;-6;6;35;0,77;0,47;4,3;1,46;1,27;1;9
4,2;1,6;8;0,82;0,26;0,47;39;49;20;4;-2;7;34;0,69;0,6;4,1;1,51;1,23;1;8
4,5;1,82;7,2;0,66;0,13;0,52;24;33;26;1;2;14;44;0,39;0,84;4,6;1,39;1,32;2;8
4,9;1,67;9,6;0,78;0,17;0,55;31;42;27;1;3;14;36;0,47;1,04;4,6;1,36;1,38;3;8
4;1,79;6;0,66;0,13;0,6;38;45;16;3;3;15;43;0,39;1;4,2;1,46;1,27;4;8
4,1;1,07;13,2;1,69;0,57;2,36;45;63;28;10;-2;6;43;1,02;0,3;4,2;1,43;1,2;5;8
3,8;1,17;13,2;1,42;0,48;1,58;56;73;23;12;6;20;50;0,81;0,77;4,3;1,46;1,23;6;8
4;1,61;11,4;0,82;0,3;0,91;45;58;23;5;4;16;45;0,6;0,47;4,5;1,36;1,32;7;8
4;1,69;7,6;0,82;0,3;0,6;42;51;18;4;4;15;41;0,65;1;4,4;1,46;1,27;8;8
4,3;1,68;10,5;0,82;0,26;0,39;33;45;27;2;0;9;37;0,65;0,69;4,3;1,44;1,25;8;7
4,9;1,75;15;0,82;0,26;0,3;28;44;37;0;3;12;32;0,39;0,95;5,6;1,3;1,49;7;7
4,3;1,81;8,8;0,62;0,17;0,17;23;32;30;1;9;20;40;0,54;1,14;4,7;1,41;1,32;6;7
4,6;1,77;11,4;0,07;0,22;0,22;26;39;33;1;1;11;37;0,6;1;4,3;1,43;1,27;5;7
5,3;1,86;10;0,66;0,22;0,17;19;30;37;0;2;11;33;0,47;1;4,9;1,46;1,43;4;7
4,5;1,83;7,2;0,78;0,13;0,25;24;32;26;1;4;13;32;0,47;0,95;4,7;1,38;1,3;3;7
5,8;1,86;14,1;0,07;0,17;0,17;16;31;49;0;1;13;47;0,47;1,07;5,9;1,38;1,51;2;7
4,7;1,88;8,8;0,74;0,13;0,14;20;30;33;0;1;13;50;0,54;1,04;4,2;1,47;1,27;1;7
5,1;1,85;9,2;0,74;0,17;0,19;23;33;31;1;3;15;46;0,47;0,95;4,8;1,3;1,36;1;6
5,7;1,85;12,3;0,74;0,17;0,22;19;32;41;1;-1;11;59;0,17;1;6,4;1,39;1,55;2;6
4,6;1,72;8;0,82;0,22;0,39;36;45;21;2;3;15;46;0,54;0,77;5,1;1,27;1,32;3;6
4,8;1,64;7,2;0,74;0,35;0,39;31;39;22;2;2;12;38;0,54;0,9;3,6;1,41;1,39;4;6
4,6;1,56;8,8;0,74;0,3;0,47;40;50;20;2;3;12;32;0,6;0,9;4,2;1,43;1,25;5;6
4,7;1,86;8;0,66;0,17;0,28;23;32;28;1;3;14;42;0,47;0,9;4,3;1,43;1,3;6;6
5,1;1,7;12,3;0,82;0,26;0,28;32;45;30;1;1;9;27;0,6;0,6;5,8;1,3;1,46;7;6
4,4;1,76;9,6;0,91;0,26;0,52;32;43;26;2;1;12;48;0,54;0,95;5,1;1,41;1,47;8;6
4,3;1,82;7,6;0,74;0,13;0,33;25;34;26;1;1;13;47;0,47;0,77;4,3;1,38;1,34;8;5
5,2;1,65;13,2;1,04;0,39;0,39;34;49;31;1;-2;5;25;0,47;0,69;4,8;1,34;1,39;7;5
6;1,72;17,7;1,38;0,3;0,5;25;45;44;1;0;10;36;0,54;0,77;6;1,43;1,49;6;5
5;1,78;14,1;0,99;0,22;0,33;27;42;37;1;1;13;50;0,39;1;4,6;1,34;1,38;5;5
5,9;1,62;11,8;0,91;0,35;0,42;34;47;28;2;2;10;31;0,54;0,95;4,3;1,39;1,27;4;5
5,6;1,79;12,3;0,82;0,26;0,5;26;40;35;1;2;15;51;0,39;0,95;5,7;1,3;1,39;3;5
5,4;1,92;15;0,66;0,17;0,28;14;30;54;0;2;19;78;0,3;0,9;6,9;1,91;1,95;2;5
5,4;1,84;9,6;0,74;0,17;0,33;25;35;31;1;1;12;41;0,47;1;4,9;1,34;1,38;1;5
5,9;1,92;16,8;0,74;0,17;0,22;11;28;63;0;5;23;76;0,17;0,9;6,8;1,72;1,8;1;4
6;1,9;21,5;0,82;0,26;0,28;12;34;67;0;4;19;58;0,47;0,77;7,2;2,04;2,17;2;4
5,5;1,84;18,6;0,86;0,22;0,3;18;38;53;0;2;14;52;0,3;0,95;7,1;1,74;1,86;3;4
4,8;1,77;11,4;0,91;0,3;0,36;27;40;32;1;0;8;29;0,54;0,69;5;1,32;1,44;4;4
5,6;1,81;15,9;1,17;0,26;0,42;29;46;38;1;-1;8;34;0,65;0,6;6,6;1,53;1,63;5;4
5,5;1,81;16,8;0,91;0,3;0,25;24;42;43;0;1;13;46;0,54;0,77;5,9;1,32;1,51;6;4
